1世代目
1.2068906114719609 0.0	1.329231337249755 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.206997102858732 0.0	1.3395303977230575 30.0
1.1529531756463904 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.7516723017365035 30.0
1.03515010161906 0.0	1.329231337249755 30.0
1.2068906114719609 0.0	1.2846091510167585 30.0
0.7004538496954159 0.0	1.4063865628773642 30.0
0.9081352268239814 0.0	1.2846091510167585 30.0
0.9270516759080976 0.0	1.2098933429873788 30.0
1.1589342568923338 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.2846091510167585 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
16世代目
1.1589342568923338 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.329231337249755 30.0
1.03515010161906 0.0	1.2098933429873788 30.0
1.03515010161906 0.0	1.329231337249755 30.0
1.1758728187361254 0.0	1.1717041740551473 30.0
1.1529531756463904 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.566143735376216 30.0
0.9270516759080976 0.0	1.329231337249755 30.0
1.2068906114719609 0.0	1.329231337249755 30.0
1.0715094154262688 0.0	1.2846091510167585 30.0
1.2068906114719609 0.0	1.329231337249755 30.0
1.2068906114719609 0.0	1.4784506631800038 30.0
1.206997102858732 0.0	1.329231337249755 30.0
1.205584589074379 0.0	1.2098933429873788 30.0
1.1851800733998132 0.0	1.329231337249755 30.0
1.2068906114719609 0.0	1.3395303977230575 30.0
0.7954124156979194 0.0	1.2098933429873788 30.0
1.03515010161906 0.0	1.4784506631800038 30.0
1.1974496617214108 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.2846091510167585 30.0
1.2068906114719609 0.0	1.7516723017365035 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.03515010161906 0.0	1.003427558310743 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.03515010161906 0.0	1.2098933429873788 30.0
1.03515010161906 0.0	1.329231337249755 30.0
1.1589342568923338 0.0	1.4063865628773642 30.0
1.1589342568923338 0.0	1.2098933429873788 30.0
1.203079261365912 0.0	1.2846091510167585 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
17世代目
1.2068906114719609 1.0	1.4063865628773642 30.0
1.2068906114719609 2.0	1.0587353575153762 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.329231337249755 30.0
1.1990300482676222 2.0	1.329231337249755 13.0
1.2068906114719609 1.0	1.2846091510167585 30.0
1.2068906114719609 2.0	1.4063865628773642 30.0
1.203079261365912 0.0	1.2846091510167585 30.0
1.2068906114719609 2.0	1.4784506631800038 30.0
1.2068906114719609 1.0	1.329231337249755 30.0
1.2068906114719609 2.0	1.2098933429873788 30.0
1.2068906114719609 2.0	1.2098933429873788 30.0
1.2068906114719609 2.0	1.2846091510167585 30.0
1.03515010161906 2.0	1.329231337249755 30.0
1.1758728187361254 2.0	1.2846091510167585 30.0
1.2068906114719609 2.0	1.7516723017365035 30.0
1.205584589074379 0.0	1.79613029162254 30.0
1.205584589074379 1.0	1.3395303977230575 30.0
1.2068906114719609 2.0	1.2098933429873788 30.0
1.1758728187361254 2.0	1.4063865628773642 30.0
1.2068906114719609 2.0	1.329231337249755 30.0
1.2068906114719609 2.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.2846091510167585 2.0
1.2068906114719609 2.0	1.329231337249755 30.0
1.2068906114719609 1.0	1.329231337249755 30.0
1.2068906114719609 1.0	1.329231337249755 30.0
1.203079261365912 1.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.4063865628773642 30.0
1.2068906114719609 2.0	1.2846091510167585 30.0
1.2068906114719609 2.0	1.329231337249755 30.0
18世代目
1.2068906114719609 1.0	1.2918303805494555 30.0
1.2068906114719609 1.0	1.329231337249755 1.0
1.2068906114719609 1.0	1.1819461165166634 30.0
1.2068906114719609 1.0	1.2846091510167585 30.0
1.2068906114719609 1.0	1.4733706372154551 30.0
1.1990300482676222 1.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.203079261365912 1.0	1.4784506631800038 30.0
1.2068906114719609 1.0	1.2846091510167585 30.0
1.1758728187361254 1.0	1.2098933429873788 30.0
1.1264548662447655 1.0	1.329231337249755 30.0
1.203079261365912 1.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.329231337249755 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.1946013247867708 1.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.3395303977230575 30.0
1.2068906114719609 1.0	0.9615217335655104 30.0
1.2068906114719609 1.0	1.2846091510167585 30.0
1.2068906114719609 1.0	1.4063865628773642 30.0
1.203079261365912 1.0	1.4063865628773642 30.0
1.1758728187361254 1.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.2846091510167585 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.329231337249755 30.0
1.2068906114719609 1.0	1.2846091510167585 30.0
1.2068906114719609 1.0	1.1493490261481718 30.0
1.2068906114719609 1.0	1.2846091510167585 30.0
1.2068906114719609 1.0	1.2846091510167585 30.0
1.205584589074379 1.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.2846091510167585 30.0
19世代目
1.2068906114719609 3.0	1.329231337249755 30.0
1.2068906114719609 3.0	1.2846091510167585 30.0
